"gene_symbol","category","complex","log2fc","pvalue","padj","diffexpressed","sig","direction"
"TFB2M","mtdna_maintenance",NA,-0.0247083007348419,0.8945990422823,0.8945990422823,"NS",FALSE,"NS"
"MTERF1","mtdna_maintenance",NA,-0.0742175022561654,0.419065591849801,0.419065591849801,"NS",FALSE,"NS"
"MTERF2","mtdna_maintenance",NA,-0.0533875327213683,0.460840945383797,0.460840945383797,"NS",FALSE,"NS"
"MTERF3","mtdna_maintenance",NA,-0.135762145033389,0.288248925924133,0.288248925924133,"NS",FALSE,"NS"
"MTERF4","mtdna_maintenance",NA,0.10402022232712,0.464177556002006,0.464177556002006,"NS",FALSE,"NS"
"RHOT1","mito_transport",NA,-0.285795147022373,0.0230401264057055,0.0230401264057055,"NS",FALSE,"NS"
"RHOT2","mito_transport",NA,0.0762039997979151,0.672047591256071,0.672047591256071,"NS",FALSE,"NS"
"TRAK1","mito_transport",NA,-0.19253560621593,0.223692178928423,0.223692178928423,"NS",FALSE,"NS"
"TRAK2","mito_transport",NA,-0.22823921775182,0.540422501039063,0.540422501039063,"NS",FALSE,"NS"
"KIF5A","mito_transport",NA,0.415964007423678,0.266237134135018,0.266237134135018,"NS",FALSE,"NS"
"KIF5B","mito_transport",NA,-0.160411516633722,0.206144439363073,0.206144439363073,"NS",FALSE,"NS"
"KIF5C","mito_transport",NA,0.278841506913645,0.42220059577855,0.42220059577855,"NS",FALSE,"NS"
"TOMM20","mito_transport",NA,0.0846512234777759,0.281409032999177,0.281409032999177,"NS",FALSE,"NS"
"TOMM22","mito_transport",NA,-0.00662632211997866,0.92034548504276,0.92034548504276,"NS",FALSE,"NS"
"TOMM40","mito_transport",NA,0.122248748419423,0.575750429176059,0.575750429176059,"NS",FALSE,"NS"
"TIMM23","mito_transport",NA,0.0523421515152296,0.542008380483316,0.542008380483316,"NS",FALSE,"NS"
"TIMM44","mito_transport",NA,0.042813927811027,0.893217149887656,0.893217149887656,"NS",FALSE,"NS"
"TIMM50","mito_transport",NA,0.0113592140228499,0.921901909082061,0.921901909082061,"NS",FALSE,"NS"
"SOD1","ros_defense",NA,-0.133325516289434,0.032323075770381,0.032323075770381,"NS",FALSE,"NS"
"SOD2","ros_defense",NA,-0.560918661131392,0.0981018905844473,0.0981018905844473,"NS",FALSE,"NS"
"CAT","ros_defense",NA,-0.257319879374594,0.482738037800538,0.482738037800538,"NS",FALSE,"NS"
"GPX1","ros_defense",NA,0.0575521051337916,0.734767738113271,0.734767738113271,"NS",FALSE,"NS"
"GPX2","ros_defense",NA,0.244185221806608,0.253904095702101,0.253904095702101,"NS",FALSE,"NS"
"GPX3","ros_defense",NA,-0.399543150181355,0.140905048987907,0.140905048987907,"NS",FALSE,"NS"
"GPX4","ros_defense",NA,-0.0845519885934865,0.715845969002564,0.715845969002564,"NS",FALSE,"NS"
"PRDX1","ros_defense",NA,-0.0729282041437622,0.730079178770037,0.730079178770037,"NS",FALSE,"NS"
"PRDX2","ros_defense",NA,0.0963635110077899,0.513037348415471,0.513037348415471,"NS",FALSE,"NS"
"PRDX3","ros_defense",NA,-0.168358127458022,0.261128705467115,0.261128705467115,"NS",FALSE,"NS"
"PRDX4","ros_defense",NA,0.0498697177132648,0.638012483438392,0.638012483438392,"NS",FALSE,"NS"
"PRDX5","ros_defense",NA,0.163437441828361,0.258645770529115,0.258645770529115,"NS",FALSE,"NS"
"PRDX6","ros_defense",NA,-0.55838999602793,0.108115515449946,0.108115515449946,"NS",FALSE,"NS"
"TXN","ros_defense",NA,-0.0725963816382088,0.709104169335499,0.709104169335499,"NS",FALSE,"NS"
"TXN2","ros_defense",NA,0.0385436640598306,0.755088598702032,0.755088598702032,"NS",FALSE,"NS"
"TXNRD1","ros_defense",NA,-0.0809449689715332,0.558457276458225,0.558457276458225,"NS",FALSE,"NS"
"TXNRD2","ros_defense",NA,0.108880728799402,0.620853470178384,0.620853470178384,"NS",FALSE,"NS"
"GLRX","ros_defense",NA,-0.00415378416937626,0.963818524432129,0.963818524432129,"NS",FALSE,"NS"
"GLRX2","ros_defense",NA,0.189410633614982,0.313106923031574,0.313106923031574,"NS",FALSE,"NS"
"CS","tca_cycle",NA,-0.0268747771233818,0.713894047639085,0.713894047639085,"NS",FALSE,"NS"
"ACO1","tca_cycle",NA,-0.164752915574406,0.225114590813251,0.225114590813251,"NS",FALSE,"NS"
"ACO2","tca_cycle",NA,-0.0855283286986491,0.523027334482818,0.523027334482818,"NS",FALSE,"NS"
"IDH1","tca_cycle",NA,-0.191008971604839,0.296359148402593,0.296359148402593,"NS",FALSE,"NS"
"IDH2","tca_cycle",NA,-0.0758934525382022,0.605967060514016,0.605967060514016,"NS",FALSE,"NS"
"IDH3A","tca_cycle",NA,-0.235939954818147,0.180241238403353,0.180241238403353,"NS",FALSE,"NS"
"IDH3B","tca_cycle",NA,0.071220438729004,0.636133034468803,0.636133034468803,"NS",FALSE,"NS"
"IDH3G","tca_cycle",NA,-0.00514989394903518,0.969764859008559,0.969764859008559,"NS",FALSE,"NS"
"OGDH","tca_cycle",NA,0.0417931719971474,0.633209605551782,0.633209605551782,"NS",FALSE,"NS"
"OGDHL","tca_cycle",NA,0.140246575039492,0.597268438358232,0.597268438358232,"NS",FALSE,"NS"
"DLST","tca_cycle",NA,-0.0521772110428191,0.321143836499835,0.321143836499835,"NS",FALSE,"NS"
"DLD","tca_cycle",NA,-0.0786030722678955,0.147053987039373,0.147053987039373,"NS",FALSE,"NS"
"SUCLG1","tca_cycle",NA,0.218005739341147,0.104995696531086,0.104995696531086,"NS",FALSE,"NS"
"SUCLG2","tca_cycle",NA,-0.457379147933273,0.0981505964666749,0.0981505964666749,"NS",FALSE,"NS"
"SUCLA2","tca_cycle",NA,0.021252001899971,0.830649691796978,0.830649691796978,"NS",FALSE,"NS"
"FH","tca_cycle",NA,-0.162561613028826,0.150002025398917,0.150002025398917,"NS",FALSE,"NS"
"MDH1","tca_cycle",NA,0.257691984159128,0.0622748200523574,0.0622748200523574,"NS",FALSE,"NS"
"MDH2","tca_cycle",NA,0.119239136216135,0.305318216712715,0.305318216712715,"NS",FALSE,"NS"
"PCK1","tca_cycle",NA,-1.18930357182873,0.143658069864635,0.143658069864635,"NS",FALSE,"NS"
"PCK2","tca_cycle",NA,-0.246482242735524,0.658732063171416,0.658732063171416,"NS",FALSE,"NS"
"PC","tca_cycle",NA,-0.152954275736602,0.557994566042396,0.557994566042396,"NS",FALSE,"NS"
"CYCS","mito_apoptosis",NA,-0.0203157939364624,0.900542566887765,0.900542566887765,"NS",FALSE,"NS"
"BAX","mito_apoptosis",NA,-0.0225740627665985,0.916443394859665,0.916443394859665,"NS",FALSE,"NS"
"BAK1","mito_apoptosis",NA,-0.0527782697422661,0.813144470436562,0.813144470436562,"NS",FALSE,"NS"
"BCL2","mito_apoptosis",NA,-0.346992670282996,0.400988438457198,0.400988438457198,"NS",FALSE,"NS"
"BCL2L1","mito_apoptosis",NA,0.00640775514855198,0.975010968997733,0.975010968997733,"NS",FALSE,"NS"
"MCL1","mito_apoptosis",NA,-0.156186086887684,0.0839555645692851,0.0839555645692851,"NS",FALSE,"NS"
"BID","mito_apoptosis",NA,0.0444715087482544,0.640447536411841,0.640447536411841,"NS",FALSE,"NS"
"BAD","mito_apoptosis",NA,0.151624534846354,0.333695583486038,0.333695583486038,"NS",FALSE,"NS"
"APAF1","mito_apoptosis",NA,0.371949617157275,0.0117082210333745,0.0117082210333745,"NS",FALSE,"NS"
"DIABLO","mito_apoptosis",NA,0.101185811032144,0.383041817888441,0.383041817888441,"NS",FALSE,"NS"
"HTRA2","mito_apoptosis",NA,0.067710600112564,0.477140922765576,0.477140922765576,"NS",FALSE,"NS"
"AIFM1","mito_apoptosis",NA,0.191287616303108,0.274498271584836,0.274498271584836,"NS",FALSE,"NS"
"ENDOG","mito_apoptosis",NA,-0.0340550428358383,0.850887941591694,0.850887941591694,"NS",FALSE,"NS"
"VDAC1","mito_apoptosis",NA,-0.00645032389913385,0.909254683958077,0.909254683958077,"NS",FALSE,"NS"
"VDAC2","mito_apoptosis",NA,0.0668765782938247,0.514769749880051,0.514769749880051,"NS",FALSE,"NS"
"VDAC3","mito_apoptosis",NA,0.233774458329584,0.372182097408541,0.372182097408541,"NS",FALSE,"NS"
