gene_symbol,log2fc,pvalue,padj
LOC105372126,2.50887453359064,0.010520992,0.010520992
LOC105372173,3.500736955709892,0.024587721,0.024587721
LOC105372353,1.5498400570115463,0.030170896,0.030170896
LOC105372358,1.4251248604646043,0.026370168,0.026370168
LOC105372420,-1.251521750164817,0.045729822,0.045729822
LOC105372437,0.5335205730428605,0.021155964,0.021155964
LOC105372484,0.7594754800027042,0.024342776,0.024342776
NXT1-AS1,0.6442132820805896,0.04182974,0.04182974
LOC105372585,1.0510245161837604,0.030891066,0.030891066
LOC105372666,0.6738760545254288,0.01046531,0.01046531
LOC105372760,2.4392813434931617,0.041460969,0.041460969
LOC105372768,1.33238363891936,0.031174135,0.031174135
LOC105372821,-3.055005723916367,0.021277703,0.021277703
DYRK3-AS1,0.5680414430895301,0.025667317,0.025667317
LOC105372901,-0.8941367058962081,0.029873847,0.029873847
LOC105373015,3.331238788646597,0.013031897,0.013031897
LINC02765,1.7959202895559538,0.021460512,0.021460512
LOC105373178,2.735843061321896,0.005463864,0.005463864
LOC105373220,2.569114960089608,0.009190108,0.009190108
LOC105373373,0.7275760716639232,0.034232649,0.034232649
LOC105373393,-1.1679609039882837,0.002639241,0.002639241
LOC105373429,1.3804717903016261,0.004544689,0.004544689
LOC105373712,-2.5576779188293925,0.023738206,0.023738206
LOC105373756,2.913195346492,0.007552812,0.007552812
STAT4-AS1,0.6044197901953621,0.016100837,0.016100837
LOC105373954,2.684306186204771,0.013267038,0.013267038
LOC105374107,-1.9946496403830953,0.034652437,0.034652437
PLS1-AS1,1.3666775710736188,0.039012848,0.039012848
LOC105374200,1.4509693714721326,0.04909702,0.04909702
LINC02054,2.4863167742986745,0.039853921,0.039853921
LOC105374338,0.6508961728467428,0.033852151,0.033852151
LOC105374496,1.5655978786804892,0.040971947,0.040971947
LOC105374589,2.7353516605952675,0.005474246,0.005474246
LINC01805,1.1348442714956677,0.038742304,0.038742304
NQO2-AS1,0.5779423701400062,0.030051615,0.030051615
LOC105375010,1.4353250473514514,0.046891492,0.046891492
LOC105375069,2.7574070182858574,0.016913529,0.016913529
LOC105375397,-1.7262809979087388,0.040589699,0.040589699
PRKAR2B-AS1,1.8496103621224964,3.97742e-4,3.97742e-4
LOC105375542,1.3731030115163496,0.013063385,0.013063385
LOC105375689,2.8055994934449813,0.005620979,0.005620979
LOC105375741,0.8497173241061116,0.011744301,0.011744301
SLC45A4-AS1,0.8428687211009276,0.018205746,0.018205746
LOC105375873,1.1053980854295844,0.02041924,0.02041924
LOC105375957,-0.18948032573363469,0.030721821,0.030721821
LOC105376030,1.428623698506432,0.039739273,0.039739273
LOC105376093,-1.8425582023556715,0.031970779,0.031970779
LOC105376131,-2.085807609706647,0.015193968,0.015193968
HSD17B3-AS1,1.342366270318011,0.033132571,0.033132571
LOC105376176,1.922889968891897,0.018109485,0.018109485
LOC105376183,3.3760240367477468,0.029012511,0.029012511
LOC105376333,-0.7775230556981151,0.036643784,0.036643784
LOC105376536,1.0429228830235893,0.03571333,0.03571333
LOC105376806,-0.4206191960245196,0.007618416,0.007618416
LOC105376963,0.9563743672902153,0.015608271,0.015608271
LOC105376978,1.0622632542143147,0.039367548,0.039367548
LOC105377124,-1.1306780482915064,0.034421512,0.034421512
LOC105377299,-3.2279413659137353,0.001771964,0.001771964
PRDM8-AS1,0.8014782142880229,0.002956293,0.002956293
NEUROG2-AS1,1.3765794313415887,0.015718277,0.015718277
LOC105377406,2.6638884659398885,0.023936752,0.023936752
LOC105377488,1.0229248993182807,0.028665537,0.028665537
LOC105377492,2.0616404558859864,0.012710943,0.012710943
HAFML,2.0498895232371,0.001870922,0.001870922
LOC105377559,1.1147220774864446,0.048602253,0.048602253
FABP6-AS1,1.8357612813836632,0.007400569,0.007400569
LOC105377694,3.5971015470668726,0.037989219,0.037989219
