gene_symbol,log2fc,pvalue,padj,diffexpressed,is_purinergic,purinergic_category,is_mitochondrial,mito_category,mito_complex,is_crosstalk,top_hallmark
LOC107985584,1.1038677117450373,0.008008291,0.008008291,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107985736,1.1464819123667775,0.008029154,0.008029154,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CALCA,1.714251956303543,0.008208674,0.008208674,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CDH22,0.9387032626672724,0.008238643,0.008238643,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SERTAD4BP,1.1298991894956774,0.008335985,0.008335985,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
PSMD7-DT,2.0272792218132096,0.008358673,0.008358673,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
F2RL2,1.2248169940473752,0.008428418,0.008428418,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
IL7,0.7171773518413099,0.008453205,0.008453205,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PKDREJ,0.5297501195805154,0.008625464,0.008625464,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PRKG2,0.856944744141908,0.008656457,0.008656457,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC143666,0.47427389780289336,0.008914487,0.008914487,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CAMK1G,0.7329823819408726,0.009162641,0.009162641,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105373220,2.569114960089608,0.009190108,0.009190108,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SV2C-AS1,1.069308045358904,0.009219806,0.009219806,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CRLF1,0.8330281409959107,0.009225022,0.009225022,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107985176,2.406024649551565,0.009344593,0.009344593,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
PRRT4,0.5427559410573202,0.009373155,0.009373155,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
NWD2,1.3583118826481742,0.009393759,0.009393759,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
RGS4,1.54287049574443,0.00940661,0.00940661,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ZFAND3-DT,1.24510666746579,0.009617022,0.009617022,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SHMT1,-0.736689558474743,0.009736476,0.009736476,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
BNC1,0.7043728100720857,0.009854785,0.009854785,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SEPTIN2,-0.19492454040066903,0.009855765,0.009855765,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
C7orf57,-0.7744148857864221,0.00992963,0.00992963,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SLC5A12,1.1228149406745629,0.009932691,0.009932691,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
EXOC2,-0.1320816498966966,0.009971403,0.009971403,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LRRCC1,-0.45565968387068034,0.009998086,0.009998086,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LARGE1,0.5862488985339517,0.010075756,0.010075756,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MIP,1.1370483151011646,0.010193739,0.010193739,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105369389,1.1136389319735387,0.010194913,0.010194913,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC01559,-1.4669096063628924,0.010354452,0.010354452,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
MMADHC-DT,0.41825421216802694,0.010381129,0.010381129,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ODAD2,1.1064609806766836,0.010391471,0.010391471,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105372666,0.6738760545254288,0.01046531,0.01046531,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105378314,1.5647900795567975,0.010483115,0.010483115,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107986468,-0.6246076436548623,0.010494329,0.010494329,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105372126,2.50887453359064,0.010520992,0.010520992,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
P4HA3-AS1,-0.6853551350606812,0.010527563,0.010527563,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC02802,-0.4485381642476972,0.01066115,0.01066115,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PIP4P2,0.558868432329129,0.0106907,0.0106907,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MPO,0.7010506682138535,0.010710013000000001,0.010710013000000001,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CPS1,2.2056260836756656,0.01071308,0.01071308,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SUN1,-0.2529210035188396,0.010725735,0.010725735,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SLC22A12,2.1021476478006114,0.010763092,0.010763092,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SCML4,1.2962290843197064,0.010767368,0.010767368,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SNORD114-23,-3.851624620375386,0.010972805,0.010972805,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SYT6,0.6626075439322846,0.010983539,0.010983539,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
RBM34,0.09411396740411372,0.011016883,0.011016883,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
IRX6,2.234807677402712,0.011091978,0.011091978,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SMIM35,0.5982608615378938,0.011209996,0.011209996,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107984242,-1.3317722478259637,0.011210157,0.011210157,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CTB-49A3.2,0.8933772123842413,0.011271162,0.011271162,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ESPNP,0.9452348516705856,0.011410721,0.011410721,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ATP6AP1-DT,0.23404004794200783,0.011554512,0.011554512,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
RPL22L1,-0.3562654449320395,0.011629653,0.011629653,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC01670,0.9692413900370888,0.011644916,0.011644916,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105375741,0.8497173241061116,0.011744301,0.011744301,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SPATA18,-0.3166315087858282,0.011816813,0.011816813,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
VIRMA-DT,0.6509579316163854,0.011843342,0.011843342,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
APOBEC2,-0.6389029249909575,0.011893293,0.011893293,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
