"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"DOWN_full_ranked_unpurified","GO:0002716","negative regulation of natural killer cell mediated immunity","1/9","21/18986",0.0476190476190476,100.455026455026,9.93053708874423,0.00991285362938532,0.0332970211653712,0.0160532042581139,"MICA",1
"DOWN_full_ranked_unpurified","GO:0042742","defense response to bacterium","2/9","342/18986",0.00584795321637427,12.3365821962313,4.60721440922369,0.0107123648202675,0.0346746256681526,0.0167173767785388,"MICA/COLEC12",2
"DOWN_full_ranked_unpurified","GO:0071359","cellular response to dsRNA","1/9","23/18986",0.0434782608695652,91.719806763285,9.48037002863182,0.0108523637587348,0.0346746256681526,0.0167173767785388,"COLEC12",1
"DOWN_full_ranked_unpurified","GO:0001911","negative regulation of leukocyte mediated cytotoxicity","1/9","26/18986",0.0384615384615385,81.1367521367521,8.90455090641888,0.0122601431176502,0.0365017897366404,0.0175982915564357,"MICA",1
"DOWN_full_ranked_unpurified","GO:0034138","toll-like receptor 3 signaling pathway","1/9","26/18986",0.0384615384615385,81.1367521367521,8.90455090641888,0.0122601431176502,0.0365017897366404,0.0175982915564357,"COLEC12",1
"DOWN_full_ranked_unpurified","GO:0046629","gamma-delta T cell activation","1/9","26/18986",0.0384615384615385,81.1367521367521,8.90455090641888,0.0122601431176502,0.0365017897366404,0.0175982915564357,"MICA",1
"DOWN_full_ranked_unpurified","GO:0002449","lymphocyte mediated immunity","2/9","386/18986",0.00518134715025907,10.930339666091,4.2925371317445,0.0135033434637514,0.0372971771046643,0.01798176477525,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0006910","phagocytosis, recognition","1/9","29/18986",0.0344827586206897,72.7432950191571,8.41992629000088,0.01366614122919,0.0372971771046643,0.01798176477525,"COLEC12",1
"DOWN_full_ranked_unpurified","GO:0031342","negative regulation of cell killing","1/9","29/18986",0.0344827586206897,72.7432950191571,8.41992629000088,0.01366614122919,0.0372971771046643,0.01798176477525,"MICA",1
"DOWN_full_ranked_unpurified","GO:0031579","membrane raft organization","1/9","29/18986",0.0344827586206897,72.7432950191571,8.41992629000088,0.01366614122919,0.0372971771046643,0.01798176477525,"COLEC12",1
"DOWN_full_ranked_unpurified","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","2/9","400/18986",0.005,10.5477777777778,4.20292952966882,0.0144519587302452,0.0386368692584106,0.018627658943388,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0002697","regulation of immune effector process","2/9","410/18986",0.0048780487804878,10.290514905149,4.14160225316059,0.0151471128319798,0.039685435619787,0.019133195156185,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0099560","synaptic membrane adhesion","1/9","33/18986",0.0303030303030303,63.9259259259259,7.8788055108472,0.015538037957441,0.0399114308318583,0.0192421522692768,"SPARCL1",1
"DOWN_full_ranked_unpurified","GO:0002418","immune response to tumor cell","1/9","34/18986",0.0294117647058824,62.0457516339869,7.75854273705379,0.016005518443822,0.040321594541167,0.0194399009439134,"MICA",1
"DOWN_full_ranked_unpurified","GO:1901223","negative regulation of non-canonical NF-kappaB signal transduction","1/9","39/18986",0.0256410256410256,54.0911680911681,7.22765032642141,0.018339962346975,0.0453308503293155,0.0218549700261867,"NLRP2",1
"DOWN_full_ranked_unpurified","GO:0032814","regulation of natural killer cell activation","1/9","40/18986",0.025,52.7388888888889,7.13347434528378,0.0188062599317578,0.0456225935381531,0.0219956256511787,"MICA",1
"DOWN_full_ranked_unpurified","GO:0045088","regulation of innate immune response","2/9","470/18986",0.00425531914893617,8.97683215130024,3.81345453764593,0.0196184662521713,0.046727619618808,0.022528382299144,"MICA/COLEC12",2
"DOWN_full_ranked_unpurified","GO:0002443","leukocyte mediated immunity","2/9","485/18986",0.00412371134020619,8.6991981672394,3.74051622013454,0.0208148820130535,0.0486919561376786,0.0234754308417896,"MICA/ULBP2",2
