gene_symbol,log2fc,pvalue,padj,diffexpressed,is_purinergic,purinergic_category,is_mitochondrial,mito_category,mito_complex,is_crosstalk,top_hallmark
RPL22L1,-0.4853126726707573,0.016011565,0.016011565,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC497256,1.8738583608956905,0.016022665,0.016022665,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
MYH7,0.9505578689208716,0.016141509,0.016141509,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
FAHD1,0.3341593618361687,0.016196072,0.016196072,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
NMI,-0.677870578949095,0.016253227,0.016253227,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107985118,1.5621744077752937,0.016296678,0.016296678,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC02356,0.54074006826708,0.016417614,0.016417614,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
FMO6P,2.922161843950689,0.0164199,0.0164199,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SORCS3,-1.596250182809387,0.016434655,0.016434655,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ADAMTS5,1.631401380347277,0.016466412,0.016466412,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
MIR181A2HG,0.8785118852843516,0.016481687,0.016481687,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MTRNR2L3,-1.2061573477432077,0.016511755,0.016511755,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC101927045,0.38908572712152856,0.016709531,0.016709531,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC00683,1.3697529935587116,0.01682592,0.01682592,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC101929566,1.4451145021604834,0.017180803,0.017180803,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
KIF11,-0.7096956527033631,0.017203026,0.017203026,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105378697,2.0356472280685325,0.01720945,0.01720945,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
NCOR1,-0.19149786451254977,0.01722489,0.01722489,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PGM2L1,0.8731072498062851,0.017319137,0.017319137,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105371610,2.0962492547263087,0.017361822,0.017361822,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
FAM180B,1.4230407230510769,0.017459846,0.017459846,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
GALNT13,1.0796288808405106,0.017546474,0.017546474,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
TYMS,-0.5844624764257141,0.01759824,0.01759824,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105378450,1.424546972588259,0.017826207,0.017826207,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC101929698,0.508290119773623,0.017864582,0.017864582,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
RPH3AL-AS1,2.1153410553184204,0.017894552,0.017894552,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
PWAR5,-0.4734030342156007,0.017944002,0.017944002,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CKAP2,-0.24966271645877716,0.017978561,0.017978561,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SSC5D,0.6254007160693493,0.018029637,0.018029637,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105375511,2.7175503642012213,0.018033918,0.018033918,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
JDP2,-0.4955965238867901,0.018038281,0.018038281,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PRR5-ARHGAP8,0.7799039083032879,0.018080537,0.018080537,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105371216,1.481912262454421,0.018213419,0.018213419,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
